Cs,FA,MA,I,Br,structure,bandgap,glass,ETL,ETL-2,Ethickness,HTL,Hthickness,meta,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolution,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.05,0.87,0.08,2.76,0.24,0,1.526975000000001,15.131265603223945,15.922031015204524,15.67940413943355,24.2,15.76762475068065,52.0034,15.271361592621036,13.387363546219715,14.540728643216081,14.99397098367796,14.00101851851855,100.0,30.0,21.86,1.0,0.77,16.9
0.05,0.7885,0.1615,2.7,0.3,1,1.58,13.748588709770196,15.569879212259472,13.905069668284664,40.6,14.50981884057955,74.0,15.271361592621036,12.718995012112048,14.540728643216081,14.99397098367796,14.00101851851855,100.0,60.0,1.08,22.6,0.74,18.0
0.05,0.81,0.14,2.86,0.14,0,1.832045634920634,13.748588709770196,14.580685119632928,14.641134841501426,28.0,15.02940413943355,172.0,15.271361592621036,15.043190661450348,14.540728643216081,11.813466461809325,14.00101851851855,120.0,10.0,23.1,0.93,0.769,16.2
0.0,0.83,0.17,0.0,3.0,1,2.28,13.748588709770196,13.488257532983164,13.383332009508031,21.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,7.0,1.42,0.65,6.5
0.0,1.0,0.0,3.0,0.0,1,1.685676666666667,15.131265603223945,15.008992549550662,14.720934210311336,28.0,14.50981884057955,172.0,15.271361592621036,15.043190661450348,14.540728643216081,14.234280155654995,14.36215413943355,150.0,5.0,18.82,1.11,0.6284,13.11
0.05,0.9,0.05,3.0,0.0,1,1.526575000000001,13.748588709770196,13.488257532983164,15.853584570121559,20.016,14.50981884057955,0.07,14.127791666767372,15.043190661450348,14.540728643216081,15.853584570121559,14.00101851851855,100.0,60.0,25.32,1.12,0.837,23.76
0.05,0.8,0.15,2.55,0.45,1,1.536908333333334,13.748588709770196,15.159048660965988,14.720934210311336,46.208,14.50981884057955,200.62,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,15.270915262807186,100.0,60.0,23.06,1.1395,0.78,20.5
0.05,0.745,0.255,2.235,0.765,1,1.694780000000001,13.748588709770196,13.488257532983164,13.383332009508031,21.2,14.50981884057955,177.2,14.127791666767372,13.387363546219715,14.540728643216081,14.99397098367796,14.00101851851855,100.0,3.0,18.56,1.016,0.6116,11.54
0.0,0.83,0.17,2.49,0.51,1,1.69005,13.748588709770196,13.488257532983164,13.383332009508031,22.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,19.2,1.1,0.77,16.3
0.1,0.75,0.15,2.55,0.45,1,1.603289999999999,15.131265603223945,14.35755377277894,14.720934210311336,34.6,14.50981884057955,150.22,15.271361592621036,15.043190661450348,14.540728643216081,14.86456493872716,14.00101851851855,100.0,60.0,17.92,1.168,0.7056,13.48
0.0,0.87,0.13,3.0,0.0,1,1.52,13.748588709770196,13.488257532983164,14.720934210311336,42.4,14.50981884057955,102.0,14.127791666767372,15.043190661450348,14.540728643216081,11.813466461809325,14.198525610001713,110.0,40.0,15.7,1.0,0.56,8.73
0.0,0.67,0.33,0.5,2.5,1,2.11,13.748588709770196,13.488257532983164,13.383332009508031,21.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,7.2,0.92,0.51,3.4
0.05,0.81,0.14,2.55,0.45,1,1.534075000000001,13.748588709770196,15.159048660965988,14.720934210311336,72.6,14.50981884057955,60.028,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,28.48,1.02,0.5505,15.99
0.05,0.87,0.08,2.76,0.24,0,1.695760000000001,15.131265603223945,15.922031015204524,15.67940413943355,24.2,15.76762475068065,59.0034,15.271361592621036,13.387363546219715,14.540728643216081,14.99397098367796,14.852116051924115,100.0,30.0,22.48,1.02,0.712,16.3
0.8,0.0,0.2,3.0,0.0,0,1.72,15.131265603223945,11.770393394666886,14.720934210311336,24.0,11.599997776310113,198.0,12.108966965883685,13.387363546219715,14.540728643216081,11.813466461809325,11.742799527037969,110.0,10.0,0.58,0.84,0.46,0.22
0.05,0.8,0.15,2.85,0.15,1,1.55,16.219904627831337,16.219904627831337,14.720934210311336,72.6,13.615021021673606,160.4,16.33707903623317,16.59485963017334,16.35308226066059,14.99397098367796,16.067433477417786,134.0,26.0,24.1,1.18,0.83,23.7
0.03,0.9409,0.0291,2.91,0.09,1,1.53,16.219904627831337,16.219904627831337,14.720934210311336,72.6,13.615021021673606,60.028,16.33707903623317,16.59485963017334,16.35308226066059,14.99397098367796,16.067433477417786,112.0,51.0,24.6,1.21,0.8,23.8
0.06,0.79,0.15,2.55,0.45,1,1.536708333333334,13.748588709770196,13.488257532983164,13.383332009508031,46.208000000000006,14.50981884057955,200.62,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,22.95,1.121,0.78,20.0
0.1,0.36,0.54,2.8,0.2,1,1.647,13.748588709770196,15.159048660965988,14.408028746648979,21.2,14.159344546932804,94.0034,13.56754203087829,15.043190661450348,14.540728643216081,14.99397098367796,14.00101851851855,100.0,30.0,17.63,0.903,0.6637,10.57
0.05,0.86,0.09,2.91,0.09,1,1.56,13.748588709770196,15.569879212259472,14.720934210311336,32.8,14.50981884057955,190.22,15.271361592621036,15.043190661450348,14.540728643216081,14.234280155654995,14.198525610001713,100.0,60.0,21.0,0.987,0.453,9.4
